Categoría,Concepto,Monto USD,Grant,Future Round
,,,,
Constitución,Constitución holding Panamá,500,,500
,Constitución sociedad Colombia (honorarios),800,800,
,Gastos notariales y registros,400,400,
,Capital social mínimo,100,100,
,,,,
Compliance,Programa AML básico (manuales + KYC docs),1500,1500,
,,,,
Licenciamiento ES (si requerido),Licencia PSAD (CNAD) - honorarios,7000,,7000
,Gastos legales CNAD,550,,550
,Tarifa gubernamental CNAD (15 SM),6300,,6300
,Licencia PSB (BCR),1600,,1600
,,,,
Contabilidad ES (año 1),Contabilidad (12 meses),1000,,1000
,Domicilio fiscal (12 meses),500,,500
,Apoderado país (12 meses),500,,500
,,,,
Mantenimiento ES,Auditoría y cierre fiscal,800,,800
,Renovación matrícula comercio,100,,100
,Fee registro comercio,125,,125
,Renovación licencia CNAD,4100,,4100
,,,,
Honorarios Legales,Honorarios grant (al recibir grant),3500,3500,
,Honorarios diferidos (3 cuotas mensuales),4500,,4500
,,,,
Tech & Infra,Infraestructura técnica (hosting / monitoring / APIs),1500,1500,
,Deployment prep / security review / docs,500,500,
,,,,
Personal técnico,Mateo + Carlos M1 (~150h),7500,7500,
,Mateo + Carlos M2 (~100h),5000,5000,
,,,,
Contingencias,Contingencia general,2200,2200,
,,,,
TOTALES,,,Grant,Future Round
,Total Proyecto,~50375,,
,GRANT (Questbook),,23000,
,FUTURE ROUND (Pre-seed / Next grant),,,27575
,,,,
Distribución Grant,Legal (Constitución + Compliance + Honorarios grant),,6300,
,Tech & Infra,,2000,
,Personal técnico,,12500,
,Contingencias,,2200,
,TOTAL GRANT,,23000,
,,,,
Distribución Future Round,Holding Panamá,,,500
,Licenciamiento ES (si Maash falla),,,15450
,Contabilidad + Mantenimiento ES,,,7025
,Honorarios diferidos,,,4500
,TOTAL FUTURE ROUND,,,27475
